start	end	text
2256560	2263600	also be used for any pathological disease in the brain, okay, and they are easy target for the
2263600	2272080	pharmacological industry, because the molecule doesn't have to cross the plasma membrane,
2272080	2280400	okay, so the molecule just bind here and have an effect, okay, so they are, so the study of ion
2280400	2290800	channels is important for the pharma industry, okay, so that's a simple definition of an ion
2290800	2302720	channel, okay, and this is just an example of study of ion channel, so I hope after this class
2302720	2308640	you can understand what is this, and what is this, and what is this, okay, so someone understand what is this,
2311360	2318000	some DNA sequence, some DNA sequence, no, it's an electrical activity of one channel,
2320480	2325920	so you can see here the scale bar is called five picohomper, so this
2326800	2334720	is five picohomper, so this may be 10 picohomper, so this is a one single channel,
2335360	2341040	it's here, it's a potassium channel, and they have a ph sensor, and they study the ph sensor
2341040	2346320	within the structure of the channel, and you see that make mutations, you see here
2348240	2354560	this is the background, you make a mutation, the ph sensitivity increase, you make more
2354560	2362960	mutation, you have more ph sensitivity, okay, so this is the, the researcher here could measure
2362960	2369280	one single potassium channel activity, okay, and they study their mutation, and this is,
2370240	2378800	so we can understand what is this, or this, okay, so this is the current measure in one cell,
2379360	2384400	so it's called the whole cell, so it's all sodium channel current, okay,
2386240	2392400	and here they also study the mutation, okay, and they characterize this pharmacology, okay, so
2393520	2402240	when you will come through this kind of paper in the future, maybe, so I hope you can understand
2402240	2411040	what this figure means, and you can interpret or predict the results, or understand the results, okay,
2412960	2422080	so all ion channels have common features, so as I said, the ions can pass through the plasma membrane
2422080	2430640	through selective, selectively, so there is what is called a selective filter, so there is a feature
2430720	2436560	in the structure of the channel that can say you can pass or you cannot pass, okay, to the ion,
2437280	2443600	okay, there's a mechanism that enables the opening and the closing of the channel, okay,
2443600	2450480	something that triggers the opening, in case of this door, it's my hand on strength that opens the
2450480	2458720	doors, okay, for ion channels it can be, in case of the action potential, for the sodium voltage
2458720	2466080	in the channel, so it's a change in the plasma membrane potential that makes the channel to open,
2466800	2475840	it's like the door, when you go to a supermarket, the door has a sensor and it automatically opens,
2475840	2485360	okay, it's the same, and they have a specific pharmacology, so when I draw an ion channel,
2485440	2493280	I just draw something like this in the plasma membrane just to symbolize the gate, okay,
2493920	2506480	so, but the gate can be open and closed, okay, so the structure of the channel is not fixed,
2506480	2513680	okay, it's changed, okay, my structure is not fixed, okay, I can stand like this, but I can
2514000	2519920	move my arm, the same for the ion channel, so the structure change, and then change,
2520800	2529200	this is an old figure, but it's a very simple and unstable figure, so the structure of ion
2529200	2538320	channels change between basically, not only, but basically, three states, the resting or the closed
2538320	2546160	state, the open state, and what is called the inactivated state, and the inactivation is very
2546160	2554080	important, and we will discuss this a little later, so let me just explain the three states,
2554080	2563200	but I think for this picture is very clear, so when there is no stimuli or when there is no need of
2563280	2574000	ion channel acting, so the channel is closed, okay, or at rest, okay, so the ions cannot pass,
2574640	2584080	okay, let's say, so the ion cannot pass, okay, but then comes a stimuli,
2584560	2594480	and the stimuli is the membrane deparization, and this channel has what is called a voltage
2596880	2605840	sensor, so it says that the plasma membrane is changing, okay, and the deparization
2605840	2617040	opens the channel, so the channel is open, and the ions can pass, okay, through the selective
2617040	2626560	filter, if it's potacea, it doesn't pass, okay, and of course you need this electrochemical gradient,
2626560	2639440	okay, so this conformation is called open, so the channel opens its gate, and the ions can pass,
2639440	2647600	okay, and there is another state, okay, that can arrive very fast, in the case of sodium,
2647600	2659440	it's arrived very fast, and the channel is still open, there is a block here that prevents
2661040	2665840	it from going to pass, and this is called inactivation,
2666720	2677760	okay, the channel is open, but it's inactivated, okay, and if you want to open the channel again,
2677760	2683440	you have to come back to the closed conformation, and then from the closed conformation you can
2683440	2694720	stimulate, so even if you stimulate here, the channel will not let ions pass, okay,
2695440	2700480	that's why it's called inactivation, and then you come back to the closed conformation, and then a new
2700480	2705600	stimuli can trigger that you open it, why is inactivation it's impossible?
2715840	2723840	First, yeah, that's the first thing it prevents, so if you have a reaction potential jumps up
2724560	2731440	until the terminal end, uh-huh, if you don't have inactivation the signal will go back,
2733280	2741520	okay, what else is important, of course it prevents contact, but it's also very important,
2741520	2750080	so the reaction potential is very fast, if you're sodium, if you don't have inactivation,
2750080	2764800	or you have a very slow action potential, okay, so the sharp increase, that's also a sharp decrease,
2764800	2771040	so it means that once the sodium channel are all open, they will rapidly inactivate, so the
2771040	2779440	potential efflux can vaporize rapidly the membrane, okay, so if you have a fast inactivation,
2780800	2786320	you can have a fast action potential, if you have a slow inactivation,
2787200	2794960	your action potential will slowly repolarize, and you will be very slow, okay,
2797200	2804800	so that's why inactivation is important, to have a rapid repolarization, okay,
2805600	2815520	so that's important to remember, closed, open, inactivated, okay, and of course they can come
2815520	2827520	back here, but it's always moving like this, it's very rare, you can go from open to close,
2828160	2835440	this is called deactivation, so it means that the potential suddenly come back to the resting,
2835440	2846480	but if the potential is still depolarized, so you have to come through the inactivation, okay,
2847600	2856800	so that's why inactivation is important, so please remember closed, you have activation,
2856800	2864960	it's open, you have inactivation, it's inactivated, and then recovery before you can activate again,
2864960	2873920	and if you are open and suddenly change membrane potential to the resting, it's called deactivation,
2874880	2884640	okay, so these a few tabs, please remember, they are important, okay, so next how the channel looks
2884640	2893840	like, so as you remember the history of ion channel, first people were measuring the resulting
2893840	2899440	activity of ion channel by measuring the electrical activity, and then they discovered
2900400	2906960	the channel activity by measuring, and after that they discovered the gene and then the structure,
2906960	2917760	okay, so this is how channel looks like about the textbook image, now this is a potassium
2917760	2926160	channel, the first channel that has been, the resolution has been solved by Machinon and Doyle,
2926160	2934560	okay, so you can see the alpha elix, and it's formed as a assembly, so it's a
2936960	2946480	first level protein structure, first level is primary, primary is the amino acid sequence,
2946480	2957040	second level is for secondary, alpha elix, so there are alpha elix, third is one protein,
2957760	2964960	for that together, and fourth is assembly of different component, so usually there are polymers
2966160	2973840	of the same subunit or sometimes different subunits, okay, and they are mostly, almost all
2974400	2981680	formed with alpha elix, okay, and between alpha elix you have loops, okay, and some of these loops,
2982400	2988320	and they are assembled like this, with the same alpha elix facing the interface between
2988960	2998000	the polymer, and the loops between the alpha elix will form the core, and the selective core,
2998880	3006960	okay, and the ions enter the fitter by first being dehydrated, so an ion in water
3007760	3015280	is hydrated, it's covered with water, but it's entered the core, it's entered the selected
3015280	3025360	fitter by being dehydrated, okay, we need some kind of energy, but the core mimics the hydration
3025360	3033600	shell of the ions, so the ions is constable in the water or in the core, okay, and then pass,
3033600	3040160	so the selective fitter is just about section of the channel, then you have rehydration, and then pass
3040160	3053600	inside, okay, so they could solve the structure up to see the single amino acids, not alpha elix,
3054560	3061840	and you can see the side chain of the amino acids and the coordination with a single atom,
3062400	3068640	so that's how it looks like, the ions look like, okay,
3069360	3085840	so there is a lot of configuration, usually people represent the alpha elix as a tune,
3087360	3097840	and then you have loops between the alpha elix, okay, and you have loops between another alpha elix,
3098720	3107040	so you have extracellular loops or intracellular loops, okay, and these loops are important,
3107040	3113600	and of course you have the n-terminal and the c-terminal, okay, it can be inside or outside,
3113600	3120880	you can run the channel, but these loops are important, especially some loops
3126720	3133600	make the selective filter, okay, and they organize themselves, okay, so let's see a little bit how
3133600	3141920	they, the structure of all the, all the structure of the line, it's a bit complicated figure, sorry,
3142880	3149280	but you can have channels that are made of just two transmembrane domain,
3149280	3158240	that's a loop, and they make a trimer, and you can have channels like here that can form tetramer,
3158960	3167200	okay, so you have one, two, three, four, five, six alpha elix that are transmembrane, okay,
3168240	3177840	and then you have a loop, and here the loop is inside and they form the pore, okay, the selective
3177840	3184400	form, you can have also dimers, here it's 14 transmembrane domain and it's from a dimer,
3184400	3193280	and there's a pore, or sometimes there is too pore, okay, so you have here examer, or, where is it,
3194240	3201360	here, a pentamer for the acetylene receptor, for the neurotransmitter receptors, so they form
3201360	3208800	pentamers for one, two, three, four, alpha, so there's a large, it's just to show that there is a
3208800	3216080	large diversity in the structure and how the channels are formed, so they can be tetramer, dimer,
3217040	3227200	pentamer, or examer, and that's it at the moment, maybe there are more, but at the moment what was
3227200	3232960	discovered is this kind of structure, okay, and you can see that they are classified in different
3232960	3238880	families, so the problem of the channels that they have been discovered as a function,
3238880	3244080	and then the genes, and then the protein, and then the people are trying to classify how the
3244080	3249920	genes are formed in terms of selectivity, in terms of oncology, in terms of getting,
3251680	3260880	but most of the channels are classified, like this, okay, so we'll see a little bit of a few
3260880	3271520	examples of channels during the course, but we mainly see channels from here,
3274080	3283840	or here, which are six transmorbent domain and form a tetramer, I think, yes, and maybe
3284800	3289760	a little bit looking like this, the chloride channel, okay,
3292960	3298640	so of course they have a structure, but they all function similarly, so you can see a channel like
3298640	3305200	an electric component, I'm not sure you studied electricity, but you can see a channel,
3305920	3316960	like an electrical component has a resistor, the conductor with a battery here, the battery is
3316960	3331360	the potential difference, and the resistor is the ion, so the pore that is selectively letting
3331360	3338240	the ion pass, okay, so the current of ions through a channel can be calculated as the current
3339280	3346720	with the net flux of ion in mole per second, the balance of the ion one or two, okay, mostly,
3348000	3357760	the ionic current, okay, and the Faraday construct, so it's a simple calculation,
3357760	3366640	and if you want it to make it more complex, so you add each channel type as a component
3366640	3373680	in parallel to the other channel, and that's what Neyar and Sackmann could
3377680	3382240	design, the electric component of the plasma membrane, with a capacitor,
3383120	3388800	because the plasma membrane function has a capacitor, so it has a charge separation,
3389760	3396480	so if you look at the membrane, who separates the charge, who separates the charge, the pump,
3397280	3405760	okay, and then you have something that lets the current flow in certain conditions of stimulation,
3405760	3420800	okay, so I show you again this, please remember elementary charge, so one single ion
3420800	3431360	contains 1.6 10 first minus 19 as a charge as an electrical charge, so if you have a current of
3431920	3439760	1 to power 3, you can easily calculate how many ions are passing through the channel, how many
3439760	3452800	ion, because you have the abogato number, okay, so it's easy to calculate, so the abogato number
3452800	3459520	is the number of molecules in one mole, and then you have the definition of the electrical current,
3460080	3466160	it's the number of charges that move up on time, okay, and the potential difference is the work
3466160	3475200	you need to separate charges, okay, and then the resistance is how hard is for the ion to
3475200	3482240	pass through this material, okay, so in ion channel we prefer to say to conductance how easy the ion
3482240	3490480	can pass through the channel, and we use the home load, the potential is directly proportional
3490480	3499040	to the resistance of the current, okay, so using this it's easy to understand how the ion channel
3499040	3508800	works, okay, and also a little bit more to remember is that the membrane, biological membrane is a
3508800	3516160	capacitor, so the capacitance measures the charge, how much charge needs to be transferred from one
3516160	3526000	conductor to another to set the given potential between them, okay, so the capacitance is the charge
3526000	3536880	and the electrical potential, okay, and when you have a circuit, when it's closed, when you
3536880	3544880	discharge the capacitor, so you have a decrease in the current like this, this charge, okay,
3544880	3554960	so it's also a little bit important to remember, and yeah, what is interesting, so the membrane
3554960	3561440	functions as a capacitor, so the plasma membrane are made of phospholipids, so the phospholipids
3561440	3568560	is the insulator of the electric, and the intracellular and extracellular medium are the
3568560	3578640	conductors, okay, so that's why we can modernize the cell as an electrical circuit, okay, and then
