start	end	text
1069280	1074400	and what's the difference between these two amino acids, maybe these three amino acids,
1075200	1085280	these, those one are negatively charged, okay, and in the little skate, Arani has no charge, okay,
1086560	1092720	but it's easy to guess because you have this little skate, this little skin here, in the case of the
1092720	1104480	mouse, BK, you have a little bit too negative charge, this is S6, S6O, it's the same, I have
1105440	1107040	six transmembrane domains,
1112880	1116960	one, two, three, four, five, six, S5 and S6,
1120960	1124320	six, and S4, voltage sensor,
1124480	1128880	this is inside, outside,
1133920	1145520	S5 and S6 makes the four, okay, and here, in S6, they have
1145680	1154960	neutral charge, okay, so in the mouse, they are a little bit negative, more negative,
1156000	1163280	and this little negative charge, according to their hypothesis, will attract more
1164560	1171200	potassium because they are positive and negative, and they are just here in the mouse at the beginning of
1171760	1180160	the, at the beginning of the, of the channel's pour, so more potassium will accumulate here,
1180160	1186400	and when you have it locally, and when you have deparization, you will have an increase of the
1186960	1196400	current, and they, they made a mutation, and when they did the mutation,
1196480	1207600	they increase, the double mutation, they increase the, the current, okay, and when they,
1216480	1224400	they made a mutation of this amino acid, okay, and they could increase the current, okay,
1225200	1230640	and when they neutralize this charge in the mouse, they reduce the current,
1232240	1240560	oops, okay, but just changing a little bit the amino acid, so the two amino acids, they could,
1242320	1252240	how to say, they could mimic the, the change in the current, okay, so in the case of the
1253200	1266640	CAB 1.3, you have five amino acids, but in the case of the big day, you have plus five amino acid,
1266640	1272320	but here you have just a change in the amino acid, you don't have more amino acid, but you just
1272320	1284800	neutralize two amino acids from minus to neutral, okay, and they could change, and change the phenotype,
1285440	1293840	okay, so what's the consequence for this income of physiology, okay, first is that
1294160	1304800	they measure the potential, so using the same approach of the patch clamp in the whole cell,
1306160	1311920	you change from, in the whole cell like this, this is called a voltage clamp,
1312880	1323840	when you measure the current, but in other case, they measure the, they,
1325920	1332880	they don't clamp, they just measure the membrane potential, okay, so it's called the
1333680	1340480	I0 mode, okay, they don't impose, they just measure the potential at,
1344400	1345760	they just measure the,
1346400	1365840	no, no, no, they just measure, I don't know, sorry,
1366320	1379040	they are sitting in the voltage clamp and they, they measure the, the current oscillation, okay,
1381200	1381440	no,
1381680	1382240	no, I,
1387760	1389040	I forgot, oh,
1412000	1418880	I, I, I, I, I, they measure the potential at different, they measure the potential
1418880	1425600	fluctuation at different potential value, okay, and they could see oscillation, and they could see
1425600	1434880	this oscillation at very negative or close to the resting potential, to the resting potential
1434880	1443280	values of the cell, and you can see that the amplitude of these oscillations,
1444640	1455200	of these potential oscillations, they fit with the window current, if you remember the window current.
1464880	1474160	You remember the window current here, okay, and so the window current falls here in 1.3,
1482480	1493520	here, fits with the oscillatory behavior of the potential at different potential values, okay.
1493600	1504240	So it means that when the CLD1.3 is constantly open, a fraction of the channels are constantly open,
1504240	1512480	you have oscillations, okay, you have a lot of oscillations, and when you block the channels
1512560	1524240	activity, we fed it in for CLD1.3, and DA4BK, so the general blocker for potassium channels
1524240	1532320	is specific for L type channels, okay, you block the oscillatory behavior, okay, the same
1532320	1545440	when you add a drug, okay, or a blocker of the potassium channel, okay, so you block the amplitude
1545440	1555760	of the oscillation, you block the frequency of the oscillations, and then they made a behavior
1555840	1564080	system, and they have a water tank, they put the fish in the water tank, and pillars, okay,
1564080	1573280	with some other stimulator, and they put the current in these pillars, okay, for example in
1573280	1585040	these pillars here, okay, and they look at the skate behavior, and these are the skate,
1585040	1590800	when they map, using the camera, they map their movement, okay, and you can see when they block
1592400	1604160	the two channels activity, okay, their behavior, they lost the electroreception capacity, okay,
1604160	1610000	so here there is a stimulation, so the skate thinks there is a prey around here, so they move
1610640	1613600	just around the pillar, and when the channels are blocked,
1615440	1623440	they don't move again around the pillar, okay, so the time near the electrode in the control,
1623440	1631440	when you have a stimulus, is much higher than when they block the channels, okay, this is a meter
1631440	1639120	fraction, it's a T channel blocker that uses control, so it has no effect on the behavior of the fish,
1639120	1653200	okay, so they made a little scheme for their experiment, so a little change in the potential
1653840	1660960	made of potassium influx, calcium influx, which depolarized at very negative potential,
1661920	1670320	which depolarized the membrane potential, and then the calcium activates the decay channel,
1670880	1681680	influx of potassium, so reduction of the potential, and then block the CAV, and then there is a
1681680	1689120	circle like this, so you have an oscillatory behavior, and it's a protein that also blocks
1689120	1698560	the activity of the big cake, okay, it's in the paper, but we just mentioned, okay, so just addition
1698560	1706800	of a few amino acids, which are specific to the little skate, CAV 1.3 and BK channel, make a
1706800	1712560	major functional difference, and a specific physiological role for the electroreception,
1712640	1724960	okay, so that's paper, it's very interesting for this, so it's also a very good paper to see the
1724960	1731440	foundation of the ion channel activity, how they behave, okay, how they are measured in
1731440	1738560	secret channel activity, or in the whole cell activity, okay, but they also give a very important
1738640	1745760	and interesting information, how nature can adapt the same gene for a different function
1745760	1753600	of a different role, okay, and what is interesting, this paper was followed by the same group,
1753600	1759920	just one year later, they published a major paper, where they also study
1760880	1768560	electroreception that they compare between shark and the skates, okay, and in the little
1768560	1775920	skate, sorry, in the little skate, so they have a couple, a functional coupling between CAV 1.3
1775920	1785280	and the BK channel, what was interesting is that in the shark, in the catch shark, okay,
1786080	1792560	it's a little shark, it's a shark, it's a little shark, they found that there is not a functional
1792560	1798640	coupling, but there is a coupling of activity between CAV 1.3 and another potassium channel gene,
1798640	1806880	it's called CAV 1.3, also 1.3, okay, and they found that these two channels,
1808080	1812320	this channel has also the same mutation, or not the same, not a mutation, but the same
1813040	1820080	addition of amino acids than the little skate, but the coupling of the activity is made with
1820080	1827520	a different potassium channel, and this potassium channel also has a little difference in amino
1827520	1837360	acid compared to the mammalian one and provides him for more sensitive capacity, okay, and as I briefly
1837360	1850480	mentioned in the last week's lecture at the end, okay, so this repetition of amino acid
1850480	1858960	is not only found in fish, but was also found in the pigeon, and not in electroreception, but
1859840	1868080	in the inner ear of the pigeon, okay, in the vestibular hair cell, okay, in the ear, and
1869440	1875760	it's probably, they made a supposition, it's not for electroreception, but for
1875760	1879360	magneto-reception, and you know what is magneto-reception?
1879920	1886720	What is magneto-reception used for?
1886720	1897280	Navigation of the birds or other animals, okay, so there is a very,
1898640	1902000	there is a very fierce debate on magneto-reception,
1902960	1912960	there is a lot of hypothesis, a lot of mechanism to debate, so I hope maybe one of you can find it,
1912960	1919360	some say it's a rhodopsin, it's due in the eye, and it's kind of oxidized,
1920160	1927760	a cytochrome that is important for magneto-reception, others say it's a channel, others say there is a
1928480	1934000	kind of magnetic, it's kind of a protein that has some magnetic property,
1935280	1946400	there's a lot of different hypotheses, so it's still a big debate, and maybe if you find
1948400	1957360	the real, if you prove that you have magneto-reception, that would be a big discovery, okay,
1958080	1963920	so maybe it's a channel, or maybe it's not a channel, I like the idea of the channel,
1968080	1976560	okay, so this first paper was important to showing the,
1977280	1986240	what's an IV curve, okay, how to measure the current, activation,
1989920	1992000	activation and inactivation,
1996160	2004080	and also the gating mechanism, okay, the voltage sensing gating, okay, and that they can measure
2004640	2010080	the gating current, so the current generated by the movement of the voltage sensor, okay,
2010080	2016800	and with this, measuring this channel property, and they could see the difference between
2017760	2027280	manians and user states, and they could characterize the electro-reception
2028000	2036720	molecular mechanism, okay, so this is mainly about gating and the voltage sensing, and
2036880	2046400	the channel, the channel behavior, okay, but now there is another property of channel,
2046400	2053680	what is important, it's called ion selectivity, okay, so we saw that CME
2056000	2062640	1.3 is selected for calcium, I said, maybe you don't remember, but
2063360	2070720	when you put a patch clamp using a calcium channel, you can replace the calcium by
2072080	2078160	barium, and actually its channels are more selected for barium than for calcium,
2078800	2086000	okay, and if you put other ions, so they won't pass through the channel, okay, so,
2086960	2096800	and the bake is a potassium selective channel, okay, so how the people or how the researchers
2098160	2105520	claim that this channel is selected for this ion or this channel is selected for this other ion,
2106240	2115760	so one of the, one of the trick or one of the tool that is used is usually the non-sequation,
2116960	2127600	so, and measuring the equilibrium potential, and when you, when you do your IV curves,
2130720	2140640	and you measure the current, this is the voltage, current, okay, and your curve
2141200	2154800	cross the zero axis, so the value of this potential is called a reversal potential, okay,
2155360	2162240	and when your reversal potential is the same as this, equilibrium potential for a specific
2162400	2171760	ion, okay, so you can say this channel is selected for this,
2174800	2181280	for this ion, okay, and this is what can be used, okay,
2181520	2192160	this is a paper I published with a collaborator, so we were characterizing
2192160	2198640	this channel in the cylindrical point membrane, okay, they solve the structure
2199280	2206160	and I measure the selectivity by measuring the change in the reversal potential
2206160	2215200	and in different ionic condition, okay, so I could see that the channel is selected for
2215200	2222400	chloride but also selected for other ions, okay, and that's how you do, why you use
2223040	2230480	the Boltzmann-Ortin equation that you simplify and you can compare
2231200	2236960	the selectivity against one single ion channel, yes?
2236960	2244400	Will it be like always a threshold or relative, like you can see whether a channel is selected
2244400	2250960	by this base or like a certain threshold you set, yeah, yes, so it's always relative to another ion,
2251280	2261680	yeah, it's always relative to a standard ion and actually other ions can pass but not that easy,
2262320	2273600	okay, so the ions are usually the most accepted model is that ions like sodium
2274560	2282640	are hydrated, they have what's called a hydration shell and you have a little bit of
2283520	2291600	more negative charge in the oxygen and this makes a hydration shell and the idea is that
2291600	2299440	we select the filter, we make the hydration shell for a specific ion and this distance here
2299440	2307440	is different between the oxygen and the sodium and the sodium is different depending on the ion,
2307440	2313920	okay, not question of ion size, it's a question of distance and the
2316480	2322880	the selective filter with bimic dehydration shell is oxygen that are at a good distance
2323680	2331920	with the ion but the model is not always perfect and this is one of the last paper I read on
2331920	2340960	ion selectivity so it's make a little bit, it's challenging a little bit the model of the hydration
2340960	2348800	shell, it's not a perfect selectivity so you see that they go well but the sodium ion has a
2348800	2361040	a passage that's not, it's too narrow for not well enough for the potassium sodium atoms in
2361040	2367840	selecting the sodium across the potassium channel, the sodium trap in the tortious trajectory for
2367840	2375600	the sodium can enter the selective filter that doesn't pass well, okay, you have people studying
2376240	2379920	who is a model but you always can use
2382800	2391680	this equation to measure your selectivity and that's why I want to study the next paper I send
2391680	2406240	you with and this paper is here so the the group of Emily Zeman
2409920	2419840	she had a quest to finding the receptor for acid taste and they found in the in our tongue
2419840	2426160	or in the Mamalian tongue of the mouse they found a new gene they found not a new gene they found a
2426160	2434640	gene that they could play it's a proton selective okay so I use this paper as an example for how
2434640	2443440	the people study the selective in ion channel okay so and you will see that they use the reversal
2443520	2450560	potential or if you read the paper they use the reversal potential for the proton to show
2451360	2457520	in their experimental condition to show that the reversal potential of their current
2458400	2468240	fits with the equilibrium potential of the proton concentration gradient that is theoretically
2468960	2476080	calculated in their experimental conditions okay and that's how they could play this is with other
2476080	2488160	different evidence but this is a selective channel approach okay but just before I start I will make
2488400	2500320	a brief introduction to the taste so taste testing we all enjoy food okay so where do we sense mostly
2500320	2508400	taste of course there is a combination between olfaction and the tongue and what we see
2509360	2519680	it's good it smells good and tastes delicious okay and our major organ for taste is our tongue
2519680	2531680	okay and our tongue can feel how many taste five first sweet sour bitter
2531680	2542320	salt oh yes and then and then the tablet yeah okay so all these five tastes
2543600	2552960	have specific receptors the food release molecules and you have receptors and the cells that detect
2552960	2560160	the taste are for the taste receptor cells for taste and you see they have a similar
2560960	2572640	organization than the the electro reception it's a group of cells that are together and they are
2572640	2578400	electrically connected to the central nervous system there is a little part of them that is
2578400	2585280	exposed outside and the receptors are here and through the receptor activation they can release
2585280	2592400	no transmitter and give us information or this is taste delicious this is salt and
2594560	2604000	this image is wrong this 2005 there is no area for the taste we can taste any taste everywhere
2604400	2614480	this is wrong so you have five taste but you only have three type of
2616240	2623360	taste receptor cells it's called a taste but it looks like an onion okay and you have a lot around
2623360	2631440	here around here okay so you have different and that you can feel the surface of your
2631440	2639600	tongue is not flat there is kind of gluten formation like this okay and within these three
2641280	2648640	type of cells you have the five tastes okay and how it works inside the cell
2650800	2657920	so the taste bud is connected through different ganglion you have different nerve projections
2658880	2666800	and then you have the central nervous system with the taste information so what happened
2666800	2672720	in term of here so you have a receptor the receptors usually induce a chain of
2676560	2684560	signaling pathway like release of secondary messenger release of calcium and the calcium
2684640	2689120	enables the release of neurotransmitter and then the neurotransmitter and generates
2689120	2699280	an action potential in the nerves okay so you also have one kind of channels and the receptors
2699280	2708000	are usually for taste five days but they have two types so you have either a gpcr what is a gpcr
2708560	2719760	okay so it's a seven transfer brain domain protein that it's coupled to a g-protein
2720400	2728080	and this type of cascade of signaling okay the researcher found the gpcr of the Nobel Prize
2728080	2735280	the researcher found the g-protein Nobel Prize okay so they are very important not only for taste
2735280	2744560	but for all the reception and hormone reception and neurotransmitter all kind of communication
2744560	2754400	in cells okay release of calcium okay so they have gpcr or ion challenge
2755360	2762000	okay mostly it's a gpcr
2762320	2767600	okay
2772320	2774640	and this this is a old
2777360	2785600	this is a old scheme okay umami umami is a two gpcr
2792000	2802480	different gpcr together later also gpcr you have different g okay and sodium
2803040	2807920	it's a sodium channel it's called inac it's the same sodium channel that is in your kidney
2808880	2812720	okay so uh salt uh it's an ncl
2817520	2825840	ncl mostly sodium okay so it's easy to have a sodium channel okay and then kind of sour
2827040	2837680	and this is a old uh review and the sour was a very long quest and people say for example
2837920	2845840	this pkd channel it's very important for sour taste in this way okay so there was a
2845840	2850640	a big fight this is another review uh from 2010
2853520	2863120	so sweet umami is a gpcr and then a chain of interesting events salt is a sodium channel
2863120	2873120	that deprives the cell and then sour maybe the proton sensitive channel not a proton
2873120	2881440	selective channel the proton is passing through some mechanism and this will induce an increase
2881440	2890160	of proton inside the cell and block a channel or other inventory yes it's like other kinds of
2890160	2897440	salts is it also true the sodium net channel right it's like other kind of salt like potassium
2897440	2908640	salt potassium chloride i don't think potassium doesn't mean the sensational salt for example if you
2908640	2914320	eat banana banana is full of potassium don't make it for example some water that's hot different
2914320	2922160	hotness yeah and then the mineral contains different teeth ah yeah which can be yeah but
2922160	2931040	salty uh in general i'm not specialist on taste but as in salt taste is mostly defined by the
2931760	2941840	amount of sodium inside the cell but yeah some some food contain a lot of potassium so what
2942320	2949040	how they hold the taste i'm not sure and how we are interceding this taste maybe they
2949040	2956000	they can influence the membrane potential so they they hyper-coronize the cell
2956560	2965520	in a bit the the social i think taste but i'm not sure oh professor professor i think the potassium
2965520	2973840	might potassium chloride might be used as a salt substitute in some specific diets yeah so if you
2973840	2984240	have hypertension yes like i have so you need to have a low potassium food intake so no potato chips
2984240	2994240	no sodium then i think you you need to have a high the potassium rich food yeah so it's reduced
2994800	3000800	deparization membrane deparization but i think then potassium chloride might at least be able to
3000800	3009440	replace sodium by some internal taste yes i think so but i i haven't verified it and it should be
3009440	3015920	simple to verify okay please check but for an exit i have to smuggle some potassium from the lab
3016640	3023280	no you never do that but i think i don't i can't buy it anywhere this is for research
3024080	3029520	okay so if it's very dangerous if you if you have too much potassium intake you might have
3030640	3038480	a drop of blood pressure and a lot of filling and don't taste the potassium chloride
3040000	3044880	or even the sodium chloride of course it tastes like salt
3045920	3049520	but i remember i had a when i was phd student
3051760	3058960	my lab had the office of an old professor and she always come to our lab take the glucose
3058960	3066400	and the sucrose and put in her coffee research because it's okay for me i know she said she was
3066400	3080320	already retired okay so let's come back to the proton okay so one of the
3085840	3092480	one so the identity was controversial and one of the model was this pkd
3093200	3095040	proton sensitive channel okay
3098080	3109120	and one of the evidence for this pkd channel was this experiment okay these are electric
3110080	3117600	response problems so they put the electrode in the town or behind the town just to measure the
3117600	3123440	electric influx or the electric response to in the mouse uh on the nerve town
3126000	3132400	two different tastes okay so they put umami taste with this bitter taste sour taste and salty taste
3132400	3140240	okay uh and they could observe the response uh to this electrical response with this different
3140240	3148880	taste and they took already known knockout mice for the different umami sweet and bitter
3149760	3159120	and you can see that when you have this gbcr t1r1 knockouts you lose the umami taste this t1r2 you
3159120	3171920	lose the sweet taste t1r3 is important for both sweet and umami and t2r5 and you lose the bitter
3171920	3182240	taste and they use fish toxin and this toxin in blood is pkd2 and pkd1 channel is like a specific
3182240	3192960	inhibitor okay and they lost the sour taste okay so using the toxin they say it's an evidence
3192960	3200000	to say that this the sour uh means this channel okay and then these are two uh
3200000	3212560	uh uh effectors downstream the this gpcr so phospholipase c beta 2 which is activated by the
3214240	3221120	release of diacyglycerol after the activation of the gene protein okay and okay you see that
3221120	3228560	they are important for sweet umami and bitter and tlpm5 is a channel that is activated downstream
3228560	3236800	this gpcr uh this gpcr activation and they are also important for this sweet taste but not for
3238960	3251600	sweet unsalted okay so this was 2006 so already 20 years ago uh so that was the model okay and
3251600	3260080	that's why people were writing this kind of review uh where you have this is important for the sour
3260080	3272800	taste okay so in this case they use a toxin which is a strong evidence but what should be a more
3273520	3288000	more effective evidence or a more definitive proof to say that this pkd2 and pkd2 l1 channel
3289200	3295040	is important for sour taste what kind of experiments would you do
3295920	3297280	um
3302160	3305280	when you want to prove that the gene is an important function
3310480	3310800	okay
3311840	3317760	knock out mars it means you suppress the gene from the animal and that's what they need
3318560	3331920	but unfortunately and that was published a few years after the nature paper sour taste
3331920	3340880	responses in my slagging challenge yeah sometimes you publish a great good paper you are very happy
3340880	3348800	and then someone i said maybe no okay that's happened so pkd1 is not the major sour taste
3351360	3358000	okay and that's exactly the same experiments they did uh we use the knock out mice
3360720	3366080	here and here they have to knock out mice they even have to double knock out mice
3366800	3375840	they add acid you got salt and phenol and other stuff and they always have a response
3376480	3387520	okay in the knock out mice oh no okay it's yeah okay you have a response these are other tests
3387600	3394720	are such a good ncl phenol and it's okay oh no this was published
3397840	3407280	in 2011 so five years after the 2006 okay so that means oh no you have to start again
3407360	3411840	and try to find what is the
3414240	3415440	what is this
3417920	3425520	set okay and this is the response so there's a little reduction in the in the spike and
3426800	3436160	in the in the response speed okay the response to the high concentration but they are still
3436160	3442160	responding and these are the the blood cells and the electrode and they will show the response okay
3442800	3450400	oh no and then came the group of lima and they published in 2010
3452240	3455920	so just before the the knock out mice
3456240	3456720	uh
3459760	3467120	and they just by electrophysiology they could record the proper current drive action potentials
3467120	3474880	in genetically identified sour taste cell what does it mean and this was published in the
3475600	3483120	pns for studying natural academia of science of the united states it's a very prestigious journal
3483680	3485360	when you are a member of the academy
3488240	3498640	okay so they could uh generate a mouse with a fluorescence in the sour taste cells
3500880	3506720	they made a fluorescent mice in mice expressing pkd to l1
3507360	3518880	okay and the trp m5 mouse is more type 2 or type 3 i forgot but it's more for the umami sweet
3520080	3530000	and the bitter taste okay so you have cells that are known and fluorescent for the sour taste
3530560	3537040	you have cells that are more for this other taste and they measure the electrical response
3538720	3547680	to acid okay and you can see that in this pkd l1 yellow fp yellow fluorescent protein
3549040	3555840	you have a response to acid ph when you when you stimulate these cells with acid
3556800	3564400	which was not the case in this trp m5 gfp expressing cells okay so when you have acid
3565280	3572480	you have an electric response this is a member of uh current okay and when you don't have acid in
3572480	3583600	the trp m5 almost no response okay and then they did patch clump and they measure the reversal
3583600	3593680	potential and they plot this uh current also with the current uh with the ph so the more
3593680	3600400	they acidify the higher is the current so the more you increase the uh concentration gradient of
3600400	3607440	proton the more you increase the current it's evidence that proton it has some effect on the
3607440	3616240	current and the reversal potential they measure at different ph condition
3618640	3629200	fit the theoretical equilibrium uh potential of ph and this is the dash line and this is the
3629200	3636400	experimental value it's almost the same so that's also very strong evidence to say
3637760	3646880	this current is uh proton selective there is a ph dependence of the intensity of the current
3647680	3654800	there is a reversal potential that fits there is a equilibrium reversal potential that fits
3654800	3665120	with the theoretical equilibrium potential of the ph there is no known inhibitor of uh
3665920	3672640	proton current except zinc for all the people that work in the proton channels
3673360	3679920	zinc was always the inhibitor of uh proton conductance they put proton uh they could zinc
3680640	3689600	and they almost inhibit most of the current okay and the last evidence here they didn't
3690560	3700480	measure the current but they use the fluorescent fluorescence you know what is fluorescence
3701440	3703600	yes fluorescent
3707920	3719120	or proton so it's a molecule compound that emits fluorescence when you have the binding
3719120	3725600	of the proton or the the opposite you have a when you don't have proton and have fluorescence
3725680	3728000	okay and that's what they they observe
3731600	3741440	here there is in this pkd2 cell when they put hdl there's a decrease in the fluorescence so it means
3742720	3750640	there's some proton movement inside the cell okay which is not the case in prpm5
3751280	3758480	well the movement is very small so with this one two three four piece of evidence
3759360	3768240	they could claim yeah there is something about proton there is a proton channel maybe there is a
3768240	3776160	proton channel that stimulates and activates the cell the proton channel proton influx
3776160	3782080	deprives the membrane then the sodium channel further deprives the reaction potential influx
3782080	3791040	of calcium and release of the neurotransmitter okay when this paper was published in 2010
3793360	3794160	by hurlman
3794480	3808960	one two three orders that's the professor 2010 and then they started
3808960	3817680	search for the molecular identity of this channel and how many years does it take
3818080	3822480	2018
3824400	3825040	how many years
3826160	3828960	eight years how many years your studies
3830640	3839200	four years twice your university time okay so research takes time okay
3840000	3843120	okay and you can see
3846240	3847280	who's the first author
